,id,Q1-1,Q1-2,Q1-3,Q2-1,Q2-2,Q2-3,Q3-1,Q3-2,Q3-4,Q3-3
10,11,전진설은 학점이 없나요? 1학점인가요?,"a1, 전진설","{'answer': 'AI: 전진설은 학기당 0.5학점씩, 2~4학년(6학기) 동안 총 3학점을 취득할 수 있습니다. [4] 2021년도 2학년 이상 재학생은 졸업 시까지 매 학기 필수로 수강해야 하며 6학기 중 4학기 이상 이수(PASS)해야 졸업이 가능합니다. [4]\n\n### References\n[4] URL: https://mdesign.jbnu.ac.kr/mdesign/24621/subview.do\n    Quoted sentence: 학기당 0.5학점, 2~4학년(6학기)동안 총 3학점(최대)\n    Quoted sentence: 2021학년도 2학년 이상 재학생은 졸업 시까지 매 학기 필수로 수강해야 하며 6학기 중 4학기 이상 이수(PASS)해야 졸업 가능 \n\n', 'keyword': '전진설 학점'}",학교 와이파이 비밀번호,b1,,공지에 보면 5월 초가 예비군 신청기간이라고 하는데 정확히 언제인지 알고 싶습니다!,.,"전북대학교 예비군연대입니다.
안녕하세요? 전북대학교 예비군 업무 담당자입니다.
 
현재 해당 내용에 대해 전북대학교 홈페이지 공지사항을 통해 훈련일 확인 및 훈련일 변경 신청에 관한 안내사항이 공지되었습니다. 
 
1. 본인 훈련일 확인은 24. 5. 13..(월) 14시 이후 부터 확인 가능하면,
2. 훈련일 변경 신청은 24. 5. 15.(수) ~ 5. 17.(금)까지입니다.
 
더욱 자세한 사항은 공고문을 확인해 주시기 바랍니다. 감사합니다.",
11,12,토익이 졸업요건인데 못 맞췄을 경우에는 졸업인증신청 안해도 되는거지?,"a1, 졸업요건","{'answer': 'AI: 아닙니다. 졸업 요건을 충족하지 못하더라도 졸업자격인증원을 제출해야 합니다. [3] 졸업자격인증원은 매 학기말 지정된 기간에 학부 사무실에 제출해야 합니다. [5] 졸업 요건을 충족하지 못한 경우, 대체 프로그램을 이수하여 인증 기준을 충족할 수 있습니다. [5] 2015학년도 입학자부터는 6학기(3학년 2학기)부터 대체 프로그램을 이수할 수 있습니다. [5]\n\n### References\n[3] URL: https://www.jbnu.ac.kr/kor/?menuID=35\n    Quoted sentence: 졸업학점을 충족하더라도 졸업자격인증의 요건을 갖추지 못한 학생은 졸업이 불가하며 수료자로 처리.\n[5] URL: https://mdesign.jbnu.ac.kr/mdesign/14100/subview.do\n    Quoted sentence: 졸업학점을 충족하더라고 졸업자격인증의 요건을 갖추지 못한 학생은 졸업이 불가하며 수료자로 처리 \n    Quoted sentence: 제출기간 : 매 학기말 지정된 기간에 제출\n    Quoted sentence: 학과(전공)별 인증 요건을 갖추지 못한 학생은 대체프로그램 별표 3을 이수하여 인증기준을 충족할 수 있음. 다만, 2015학년도 입학자부터는 6학기(3학년 2학기)부터 대체프로그램을 이수 할 수 있음 \n\n', 'keyword': '졸업 요건 미달 \n'}",전북대 학교 수준을 알려줘,c2,,수강료 납부 후 부득이하게 강의를 듣지 못하는 상황이 생기면 수강 취소 가능한가요? 수강료 환불 규정이 따로 있을까요?,.,"교내공지 :""2024학년도 하기 계절수업 1차 수강신청 안내""를 참고하시기 바랍니다.",
12,13,행정학과 졸업요건 컴퓨터 자격증 워드프로세서로도 되나요?,"a1, 졸업요건","{'answer': '안녕하세요. 전북대학교 행정학과 졸업 요건을 살펴보면 컴퓨터 자격증은 국내 및 국제 컴퓨터 관련 자격증 중 선택 1개를 취득해야 합니다. [4] 워드프로세서는 국제 컴퓨터 관련 자격증에 해당하지 않으므로 졸업 요건으로 인정되지 않습니다. [4] \n\n### 참고:\n[4] URL: https://dpa.jbnu.ac.kr/dpa/11016/subview.do\n    Quoted sentence: 컴퓨터\n국내 및 국제 컴퓨터 관련 자격증 中 선택 1 \n\n', 'keyword': '행정학과 졸업요건 컴퓨터 자격증 \n'}",밥 혼자먹기 싫은데 같이 먹을수 있는 소개해줘,c2,,"안녕하세요. 운영계획 첨부파일에 있는 링크(수강신청 시스템)에 접속해봤는데, 개설교과목 목록이 안보여서 문의드립니다. 어디에서 볼 수 있을까요?",.,"2024학년도 하기 계절학기 개설과목
2024학년도 계절학기 개설과목
바로가기(https://all.jbnu.ac.kr/jbnu/sugang/sbjt/sbjt.html) 를 클릭하고, 학기(계절학기 하기))로 놓고 조회 ",
13,14,토익 700이 졸업요건인데 토스로 대체되나요?,"a1, 졸업요건","{'answer': '네, 토익 700점 대신 토스 점수로 대체 가능합니다. 전북대학교 졸업자격인증제에 따르면 2015학년도 이후 입학자의 경우 TOEIC 700점, CBT 197점, PBT 529점, IBT 82점, TEPS 572점, TOEIC Speaking Level 6, OPIc IM2 중 하나를 선택하여 충족하면 됩니다. [5] 따라서 토스 Level 6 이상을 취득하시면 졸업 요건을 충족할 수 있습니다. [5]\n\n### 참고:\n[5] URL: https://pol.jbnu.ac.kr/pol/4265/subview.do\n    Quoted sentence: TOEIC-700, CBT-197, PBT-529, IBT-82, TEPS-572, TOEIC Speaking-Level 6, OPIc-IM2 中 택 1 \n\n', 'keyword': '졸업요건 대체 가능 여부 \n'}",복학 하고싶은데 관련 정보를 알려줘,a2,,계절학기 개설 교과목을 어디서 확인하나요?,.,"2024학년도 하기 계절학기 개설강좌
2024학년도 하기 계절학기 개설강좌 보기 
바로가기(https://all.jbnu.ac.kr/jbnu/sugang/sbjt/sbjt.html)를 클릭하고, 학기(계절학기 하기))로 놓고 조회 ",
14,15,회계학과 졸업요건 아는사람? 과홈피엔 안나와있고 과사전화하기싫은데 ㅠㅠ 도와주라 알면,"a1, 졸업요건","{'answer': 'AI:\n\n전북대학교 회계학과 홈페이지에서 졸업요건을 찾으셨는데, 웹페이지에서 찾을 수 없어서 답답하시군요! [4] 과사에 전화하기 싫으신 마음도 이해합니다. \n\n회계학과 홈페이지 [4]에 ""[필독] 회계학과 학번별 졸업요건""이라는 게시글이 있습니다. 본인의 학번에 맞는 전필과목 및 전공졸업학점, 교양학점을 확인할 수 있다고 합니다. \n\n하지만, 게시글 내용에는 졸업요건에 대한 자세한 정보가 없고, 첨부파일로 ""전북대학교 회계학과 졸업요건_2021포함.hwp"" 파일이 제공됩니다. 파일을 다운로드하여 [5] 졸업 요건을 확인해보시는 것을 추천합니다. \n\n만약 파일을 확인하기 어렵거나, 졸업 요건에 대한 더 자세한 정보가 필요하다면, 과사에 직접 방문하여 상담하는 것이 가장 정확하고 빠른 방법입니다. \n\n힘들게 과사에 전화하지 않고도 졸업 요건을 확인할 수 있도록, 학교 측에서 웹페이지에 더 자세한 정보를 제공해주면 좋겠네요! \n\n**References:**\n\n[4] URL: https://account.jbnu.ac.kr/bbs/account/438/238818/artclView.do?layout=unknown\n    Quoted sentence: [필독] 회계학과 학번별 졸업요건\n\n[5] URL: https://account.jbnu.ac.kr/bbs/account/438/209741/download.do\n    Quoted sentence: 전북대학교 회계학과 졸업요건_2021포함.hwp \n\n', 'keyword': '회계학과 졸업요건 \n'}",제가 예전에 F 받은 과목이 1개 있는데 재수강 하려고 하거든요. 그런데 F가 2개가 있으면 성적 경고라는데 맞나요..? 저는 학점 1.75 미만이 성적 경고로 알고 있었는데 그냥 그거 상관없이 F과목이 2개면 성적 경고인게 맞는건가요?,a1,,부전공 포기하면 일반선택학점으로 인정된다고 하셨는데 그러면 본전공 전공심화를 또 따로 들어야하나요?,.,다전공을 이수하지 않을 경우 본전공 전공심화학점을 이수하셔야 합니다.,
15,16,"금융연금경제학 졸업자격인증 필요한가요?? 이수 학점은 전부 채웠는데

홈페이지에 졸업요건에 금융관련자격증 하나 제출이라 적혀 있어서 제출해야되는지 궁금하네요

오아시스에 졸업자격인증원 신청 탭에 아무리 찾아봐도 안나오는데 이거 반드시 제출해야하나요?? 아니면 학점만 채우면 되는건가요?","a1, 졸업요건","{'answer': '금융연금경제학과정 졸업 요건 때문에 고민이시군요! 학점은 다 채우셨는데, 금융 관련 자격증 제출이 졸업 요건에 포함되는지 궁금해하시는 것 같습니다. [5]\n\n홈페이지에는 ""핵심 금융관련 자격증 1개 취득 또는 팀 프로젝트 수행""이라고 명시되어 있네요. 즉, 자격증이 필수는 아니고 팀 프로젝트로 대체 가능하다는 의미입니다. [5] \n\n하지만, 오아시스 시스템에서 졸업자격인증원 신청 탭을 찾을 수 없어 혼란스러우실 겁니다. 이 부분은 학과 사무실에 직접 문의해보시는 게 가장 정확합니다. \n\n전북대학교 졸업자격인증제는 2010학년도 입학자부터 적용되고, 졸업 학점을 충족해도 인증 요건을 갖추지 못하면 졸업이 불가능하다고 합니다. [3] \n\n따라서, 정확한 답변을 위해 학과 사무실에 연락하여 본인의 학번에 해당하는 졸업 요건과 졸업자격인증원 제출 여부를 확인하시는 것을 추천합니다. \n\n**References:**\n\n[3] URL: https://www.jbnu.ac.kr/kor/?menuID=118\n    Quoted sentence: 졸업생의 질적 수준 제고 및 경쟁력 강화를 위하여 사회에서 요구되는 필수적인 요소를 선정하여 적절한 달성수준에 도달할 수 있도록 유도하고, 이를 성취할 경우 졸업자격을 인증하는 제도로 졸업학점을 충족하더라도 졸업자격인증의 요건을 갖추지 못한 학생은 졸업이 불가하며 수료자로 처리.\n\n[5] URL: https://finance.jbnu.ac.kr/finance/20815/subview.do\n    Quoted sentence: 핵심 금융관련 자격증 1개 취득 또는 팀 프로젝트 수행(금융통화경시대회, 경제논문경시대회, 교육기행, 실증분석을 포함하는 논문작성 등) \n\n', 'keyword': '금융연금경제학 졸업 요건 \n'}","1학년 석차가 80등인데, 2학년때 재수강 해서 성적이 높아지면 1학년 석차가 바뀌나요? 아님 한번 석차 나온건 박제되는건가요? -> 나중에 석차 나온 성적표를 취업할때 제출하나요?? 아님 학점만 나온 성적표를 제출하나요??

나중에 석차 나온 성적표를 취업할때 제출하나요?? 아님 학점만 나온 성적표를 제출하나요??",b3,,"수업일수 1/4선안에 복학해야한다고 나와있는데 보통 복학가능일이 어떻게 되는지 알 수 있을까요?? 1학기,2학기 복학 가능일이 궁금합니다.",.,"복학
복학은 개강 6주전 ~ 개강 후 수업일수 1/4선까지 가능합니다.
2024학년도 제1학기: 2024. 1.22.(월) ~ 3.28.(목)
2024학년도 제2학기(예정): 2024. 7.22.(월) ~ 10. 1.(화)
※ 매학기 휴복학 일정은 교내공지 필수 확인 ※",
16,17,전진설 fail 했을 때 대체 프로그램 뭐하는 건가요? 귀찮나요? 그냥 상담 받는게 낫나요?,"a1,3, 전진설","{'answer': '전진설(전공진로설계) fail했을 때 대체 프로그램은 전북대학교 웹사이트에서 확인 가능합니다. [5] 해당 프로그램은 실시간 강의 출석 확인, 종료 후 설문 제출, 실시간 강의 시 카메라를 켜고 참여하는 것을 요구합니다. [5] 귀찮은지 여부는 개인의 판단에 따라 다르겠지만, 요구사항이 꽤 구체적인 것으로 보아 어느 정도 노력이 필요할 것으로 예상됩니다. \n\n단순히 상담을 받는 것과 비교했을 때, 대체 프로그램은 시간과 노력이 더 필요할 수 있습니다. 하지만 전진설을 pass하지 못하면 졸업 요건을 충족하지 못할 수 있으므로, [5] 본인의 상황과 시간적 여유를 고려하여 결정하는 것이 좋겠습니다. \n\n참고:\n[5] URL: https://www.jbnu.ac.kr/kor/?menuID=139&mode=view&no=53206\n    Quoted sentence: 해당 프로그램은 전공진로설계 대체프로그램이 아니므로, 반드시 확인 하시고 신청 바랍니다.\n    Quoted sentence: * 1~3이 모두 충족될 경우, 미 이수 학기를 pass로 변경 처리\n    Quoted sentence: ** 2023년 8월  졸업대상자는 FAIL 여부를 반드시 확인하시어 졸업 요건이 충족되도록 반드시 확인 바랍니다**\n', 'keyword': '전진설 대체 프로그램 \n'}",진수당 근처에 프린트기 있는곳이 있을까요?,b2,,"복수전공을 하고 있는 경우에는 부전공 신청이 불가능한가요?
부전공을 하고 있는 경우에도 다른 과 부전공 신청이 불가능한지 알고 싶습니다",.,"복수전공 이수 중에 동일 과 또는 타 과 부전공 신청 가능하며,
부전공 이수 중에도 타 과 부전공 신청 가능합니다.",
17,18,"전진설 활동내역등록에서 큰사람포인트용으로 낸 독후감으로 제출해도 된다고 하던데 혹시 전북대 도서 100선 목록을 어디에서 찾아볼 수 있나요?ㅠㅠ
제가 못 찾고 있어서요ㅠㅠ
그리고 워크넷에서 한 인터넷 직무검사 pdf파일을 큰사람프로젝트에서는 5포인트를 준다던데 전진설 활동으로도 등록해도 되는지 궁금하여 여쭤봅니다ㅠㅠ","a1,3, 전진설/큰사람프로젝트","{'answer': '전북대 도서 100선 목록은 전북대학교 언어교육부 외국어학당 웹사이트에서 확인 가능합니다. [4]  하지만 전북대 도서 100선 목록을 전진설 활동내역등록에 사용할 수 있는지에 대한 정보는 찾을 수 없었습니다. \n\n워크넷에서 한 인터넷 직무검사 PDF 파일을 전진설 활동으로 등록 가능한지에 대한 정보도 찾을 수 없었습니다. \n\n전진설 활동내역등록과 관련하여 더 궁금한 사항은 전북대학교 교무처 교무과에 문의하시는 것이 좋겠습니다. [5]\n\n참고:\n[4] URL: https://wz3.jbnu.ac.kr/english_korean/10719/subview.do\n    Quoted sentence: 언어교육부 외국어학당\n[5] URL: https://www.jbnu.ac.kr/kor/?menuID=139&mode=view&no=45894\n    Quoted sentence: 교무처 교무과  | 2021-03-03 | 조회 53861\n\n', 'keyword': '전북대 도서 100선, 전진설 활동 인정 범위'}",전북대 홈페이지에 5월 1일에 중간고사 완료라고 뜨는데.. 정확히 며칠부터 중간고사 기간인가요?,b1,,"안녕하세요, 휴학생 벨트활동에 관해 문의드립니다
 
취업진로처에서 하는 활동 ex_NCS 및 기업 직무적성검사 집중교육, 재학생-졸업생 온라인 멘토링​ 등의 활동에 휴학생의 신분으로 참여할 수 있는지 궁금합니다.",.,"큰사람프로젝트 관련
안녕하세요. 취업진로처에서 진행하는 프로그램은 대부분 휴학생도 참여가 가능하나,
프로그램별 대상이 상이하므로 정확한 사항을 확인하기 위해서는 각 프로그램별 공지사항에 기재된 담당자 연락처로 문의하시기 바랍니다.
감사합니다.",
18,19,재수강 학점 계절학기를 안한다는 가정 하에 초과학기 안하고 몇개까지 재수강 가능한가요? 120점입니다,"a2, 수강신청","{'answer': '전북대학교 학칙 제35조(이수학점)에 따르면, 졸업에 필요한 총 이수학점은 120학점 이상입니다. [5] 하지만 재수강 가능 학점에 대한 명확한 규정은 찾을 수 없었습니다. \n\n따라서 정확한 재수강 가능 학점은 전북대학교 학사지원과에 문의하시는 것이 가장 정확합니다. \n\n**전북대학교 학사지원과 연락처:**\n\n* **전화번호:** 063-270-2114\n* **웹사이트:** https://www.jbnu.ac.kr/kor/?menuID=118 [1]\n\n**참고:** 계절학기를 통해 추가 학점을 이수할 수 있으며, 이는 재수강 가능 학점에 영향을 미칠 수 있습니다. [5]\n\n**참고자료:**\n\n[1] URL: https://www.jbnu.ac.kr/kor/?menuID=118&pno=1\n    Quoted sentence: 전북대학교 교무처 학사지원과\n[5] URL: https://www.jbnu.ac.kr/kor/?menuID=79\n    Quoted sentence: 전북대학교학칙 제35조(이수학점)에 따르면, 졸업에 필요한 총 이수학점은 120학점 이상입니다. \n\n', 'keyword': '재수강 가능 학점 수 \n'}",계절학기도 비대면 강의 올라오나요? 사이버로 듣는거요,b1,,"큰사람프로젝트는 토익스피킹 점수가 개편됐는데, 어학능력향상장학금은 점수 개편 안되나요?? 둘이 똑같이 개편이 되어야할것같은데 큰사람만 기준이 달라져있네요.",.,"어학능력장학금 점수 기준
안녕하세요 전북대 장학팀입니다.
 
큰사람과 어학능력향상장학금은 장학금 특성이 다르기 때문에 단계별 기준이 상이합니다.
어학능력향상장학금의 성적 단계 기준은 그대로 적용될 예정입니다.
 
추가 문의사항이 있으시면 아래 번호로 유선 문의바랍니다. 감사합니다.
270-2163
 ",
19,20,전진설 재이수 k-mooc 강좌 어떤거로 듣고 어떻게ㅜ작성하는지 아시는 분 ㅜㅠ 부탁드려요,"a2, 전진설","{'answer': '죄송하지만 제공된 웹 검색 결과에서 전진설 재이수 관련 K-MOOC 강좌 정보를 찾을 수 없었습니다. 전북대학교 K-MOOC 강좌는 [4]에서 확인 가능하지만, 전진설 재이수에 대한 내용은 포함되어 있지 않습니다. \n\n전진설 재이수를 위한 K-MOOC 강좌 정보 및 작성 방법은 전북대학교 학사지원과 또는 해당 강좌 담당 교수님께 문의하시는 것이 가장 정확합니다. \n\n**참고자료:**\n\n[4] URL: https://www.jbnu.ac.kr/kor/filedownload.php?menuID=kor_139&fn1=20211105111152_49061.pdf&fn2=%EC%A0%84%EA%B3%B5%EC%A7%84%EB%A1%9C%EC%84%A4%EA%B3%84+%EC%9E%AC%EC%9D%B4%EC%88%98+%EB%B0%A9%EC%8B%9D+%EC%95%88%EB%82%B4%28K-MOOC%29.pdf&type=files&no=48252&order=2\n    Quoted sentence: \n\n', 'keyword': '전진설 재수강 K-MOOC \n'}","졸업요건이 토익 700점이라면, 4년 학교 다니는 중에서 기간 상관없이 그냥 한 번만 700점 넘기고, 그거 성적표 내도 되나요? 만약 지금 3학년이라면, 지금 시험봐서 700넘기고 그 성적표 과사무실에 내면 되나요? -> 나는 컴퓨터공학부야",b3,,사정상 졸업식을 참석하지 못하여 학위기(학위증서) 를 받지 못하였는데 지금 졸업한지 10년 정도되었습니다. 학위증서도 재발급이 가능한가요? 감사합니다,.,"답변드립니다.
안녕하세요 전북대학교 증명발급부서입니다.
 
학위기는 학과사무실에 문의해보시기 바랍니다.
 
감사합니다. ",
20,21,"전진설 4번 하는거 2,3 학년말고 4학년에 하는것도 포함해서 4번하는건가요? 2,3학년에 3번하고 4학년에 1번해도 되는건가요?","a2, 전진설","{'answer': '전진설은 2~4학년 (6학기) 동안 총 3학점(최대)을 이수해야 하며, 2021학년도 2학년 이상 재학생은 졸업 시까지 매 학기 필수로 수강해야 하고 6학기 중 4학기 이상 이수(PASS)해야 졸업 가능합니다. [5] 4학년 학생의 경우 지도교수가 이수 기준을 달리 정하여 운영 가능합니다 (완화 가능). [5] 즉, 2, 3학년에 3번 하고 4학년에 1번 해도 됩니다. \n\n### References\n[5] URL: https://mdesign.jbnu.ac.kr/mdesign/24621/subview.do\n    Quoted sentence: 2021학년도 2학년 이상 재학생은 졸업 시까지 매 학기 필수로 수강해야 하며 6학기 중 4학기 이상 이수(PASS)해야 졸업 가능\n    Quoted sentence: 4학년 학생의 경우 지도교수가 이수기준을 달리 정하여 운영 가능(완화 가능) *성적에 이수, 미이수(P/F) 여부 표시됨 \n\n', 'keyword': '전진설 횟수'}",,,,지원서류 제출 시 증명사진도 제출해야하나요? 실물 원본이 따로 없는데 그냥 a4에 출력해서 제출해도 되는건가요?,.,"사진 제출은 이렇게 하세요!
안녕하세요 학군단입니다. 답변이 많이 늦어서 죄송합니다.
먼저 학군사관 지원 절차는 인터넷 접수를 하신 뒤, 구비서류 원본을 학군단에 방문하셔서 
제출하시면 됩니다. 
문의주신 증명사진은 이미지 파일로 제출하시면 됩니다. (학군단 이메일 : 106hak@hanmail.net)
 
이외 궁금한 사항은 063-270-3618로 문의 바랍니다. 
",
21,22,1학기 졸업요건 마감일 대충 언제쯤?,"a2, 졸업요건","{'answer': '1학기 졸업 요건 마감일은 대략 1월 말입니다. 전북대학교 졸업 본사정 일정에 따르면, 1월 말에 대학에서 졸업예정자 총괄표, 각종 명단, 졸업예정자 조서, 사정회의록 등을 본부로 제출합니다. [4] \n\n### References\n[4] URL: https://www.jbnu.ac.kr/kor/?menuID=105\n    Quoted sentence: 1월 말(7월 말) 대학에서 졸업예정자 총괄표, 각종 명단, 졸업예정자 조서, 사정회의록 등을 본부로 제출 \n\n', 'keyword': '1학기 졸업 마감일 \n'}",,,,어제 놓고간 물건을 찾고 싶은데 따로 분실물 보관함 같은게 있나요?,.,"안녕하세요. 중앙도서관입니다.
안녕하세요. 중앙도서관입니다.
중앙도서관에는 현재 별도의 분실물 보관함이 없습니다.
1층 게이트 앞 경비데스크의 분실물 보관함은 현재 로비 공사로 인해 운영하지 않고 있습니다.
다만 2, 3층 자료실의 경우 보통 분실물 발생시 데스크에서 임시 보관하며,
4층 열람실은 발견되어 신고되는 경우에 한하여 4층 도서관자치위원회실 또는 경비실에서 보관하고 있으니 방문하여 확인하시기 바랍니다.
추후 로비가 정상 운영되면 1층 데스크에서 분실물을 통합 관리할 예정이오니 양해하여 주시기 바랍니다. 감사합니다.",
22,23,취업계 내려면 어떻게 해야해? 영어 성적 안되고 학점 모자란데.. 중견 이상 취업하면 취업계 내고 졸업 할 수 있어..?,"a2, 휴학","{'answer': ""존님, 안녕하세요. 졸업을 앞두고 취업계에 대해 고민이 많으시군요. \n\n우선 전북대학교 미출석취업자 출석 인정 제도에 대해 설명드리겠습니다. 흔히 '취업계'라고 불리는 이 제도는 마지막 학기를 등록한 졸업예정자가 학기 중 취업으로 인해 수업에 정상적으로 참여하기 어려울 때, 출석을 인정해주는 제도입니다. [4, 5]\n\n하지만, 취업계를 낸다고 해서 학점이 보장되는 것은 아닙니다. [5] 출석은 인정되지만, 시험, 과제 등은 다른 학생들과 동일하게 이수해야 합니다. [4] 또한, 담당 교수님께서 출석 대체 보완 요구사항을 제시할 수 있으며, 이를 이행해야 합니다. [4] \n\n취업계 신청 자격은 다음과 같습니다.\n\n* 학위 취득에 필요한 마지막 학기를 등록한 졸업예정자 또는 조기졸업예정자 [4, 5]\n* 학기 중 취업으로 교과목별 총 수업 시간 수의 4분의 3 이상 출석할 수 없는 재학생 [4, 5]\n* 상시 근무 조건으로 채용되어 4대 보험에 가입된 경우 (단, 공무원 등 일부 예외 있음) [4, 5]\n\n안타깝게도 존님의 영어 성적이나 학점이 취업에 영향을 줄 수는 있지만, 취업계 신청 자격에는 영향을 주지 않습니다. [4, 5] 중견기업 이상 취업에도 취업계를 낼 수 있습니다. [4, 5] \n\n취업계 신청 절차는 다음과 같습니다.\n\n1. **개강 전:** 수강 신청 완료 후 최초 수업 시 제출 서류를 학과에 제출합니다. [5]\n    * 학과에서 공과대학장 승인 출석 인정서를 학생에게 전달합니다. [5]\n    * 학생은 직접 각 교과목 교수님께 출석 인정서를 전달합니다. [5]\n2. **종강 전:** 종강 시 제출 서류를 학과에 제출합니다. [5]\n\n취업계 제출 후 이직이나 퇴사 등의 사유가 발생하면 바로 학과에 문의해야 합니다. 이직, 퇴사 일자부터는 결석으로 처리될 수 있습니다. [5]\n\n**존님의 경우, 컴퓨터인공지능학과 사무실에 직접 문의하여 필요한 서류와 절차를 자세히 안내받는 것이 좋겠습니다.** \n\n**참고:**\n\n[4] URL: https://business.jbnu.ac.kr/bbs/business/1575/157335/artclView.do\n    Quoted sentence: 미출석취업자 출석인정 운영 안내(취업계)\n[5] URL: https://ise.jbnu.ac.kr/bbs/ise/393/178671/artclView.do\n    Quoted sentence: 전북대학교 미출석취업자 출석인정 서류 안내(학생들이 흔히 말하는 취업계..) \n\n"", 'keyword': '취업계 조건 \n'}",,,,계절학기 수강신청 날짜가 언제인가요?,.,"계절학기 수강신청
1차 수강신청 :  5. 7.(화) 08:00 ~ 5. 9.(목) 18:00 
2차 수강신청 :  5. 23.(목) 08:00 ~ 5. 24.(금) 18:00
 
자세한 사항은 교내공지 ""2024학년도 하기 계절수업 일정 알림""을 참고 하시기 바랍니다.",
23,24,지금 중도 편의점 열었을까?,"b1, 교내정보","{'answer': '네, 전북대학교 중앙도서관 1층 로비와 편의점은 현재 24시간 시범 운영 중입니다. 4월 20일 목요일부터 4월 30일 일요일까지 운영되니 참고하시기 바랍니다. [4] 단, 지하 및 사물함, 2~4층은 사용 불가합니다. [4] \n\n**참고:**\n\n[4] URL: https://www.jbnu.ac.kr/kor/?menuID=139&mode=view&no=52841\n    Quoted sentence: 시험시간 중앙도서관 1층 로비 및 편의점 24시간 개방 협의 완료 \n\n', 'keyword': '중도 편의점 영업시간 \n'}",,,,"기숙사비 다시 돌려준다고 알고있는데, 언제 주시나요?",.,"답변입니다.
1학기 종강 시점으로 기숙사 실거주여부 확인 후 학생 개인통장으로 입금됩니다.
 
6월초 환급받으실 통장과 재학증명서 제출 안내가 있을 예정이니 참고 바랍니다.
 
감사합니다.
 
TEL)063-270-4885",
24,25,교내에 스캔 가능한 곳 있음?,"b1, 교내정보","{'answer': '네, 교내에 스캔 가능한 곳이 있습니다. 전북대학교 근처에 있는 로반프린트카페에는 여러 대의 대형 복합기가 설치되어 있어 스캔, 복사, 팩스 기능까지 이용 가능합니다. [4]\n\n## 참고\n[4] URL: https://m.blog.naver.com/roveninterior/222735035183\n    Quoted sentence: 인쇄 출력 외스캔, 복사, 팩스 기능까지이용이 가능해서 아주 편리합니다. \n\n', 'keyword': '교내 스캔 \n'}",,,,"편입학전 동일유사전공으로 복수전공 신청 불가 규정을 개정한다고 하셨는데 신청 가능한 쪽으로 규정되는 건가요?
편입학 학생 특성상 휴학 없이 복수전공 신청 기회가 단 한 번 뿐이라 바뀐 규정이 내년에 복수 전공 선발에 적용되는지 궁금합니다. ",.,"편입생 복수전공 문의
규정 개정되어 편입학 전 전공과 동일유사한 전공으로 복수전공 신청 가능합니다.
이번 5월 선발부터 적용될 예정입니다. 감사합니다.",
25,26,지금 학교내부 편의점에서 담배 살 수 있는곳 어딨죠..,"b1, 교내정보","{'answer': '죄송하지만 해당 정보는 알 수 없습니다. 학교 내 편의점에서 미성년자에게 담배를 판매하는 것은 불법입니다. [5]\n\n## 참고\n[5] URL: http://www.kihasa.re.kr/hswr/v.42/3/152/%ED%9D%A1%EC%97%B0+%EC%B2%AD%EC%86%8C%EB%85%84%EC%9D%80+%EB%8B%B4%EB%B0%B0+%ED%8C%90%EB%A7%A4+%EA%B8%88%EC%A7%80%EB%A5%BC+%EC%96%B4%EB%96%BB%EA%B2%8C+%EB%9A%AB%EB%8A%94%EA%B0%80+%EB%8B%B4%EB%B0%B0+%EA%B5%AC%EB%A7%A4%EC%99%80+%ED%9A%8D%EB%93%9D+%EB%B0%A9%EB%B2%95%EC%9D%84+%EC%A4%91%EC%8B%AC%EC%9C%BC%EB%A1%9C\n    Quoted sentence: 이는 청소년 담배 구매가 불법임에도 불구하고 많은 청소년이 불법으로 담배를 구매 및 획득하여 담배를 피우고 있음을 의미한다. \n\n', 'keyword': '학교 담배 판매처 \n'}",,,,안녕하세요 기계공학과 1학년 학생입니다. 1학년은 성적장학금을 받기위해 토익성적도 필요없고 따로 신청할 필요도 없는것으로 알고있는데 그러면 국가장학금 신청여부 소득분위 상관없이 성적순으로 장학금이 들어오는건가요? 성적장학금은 현금 입금되나요 아니면 등록금 감액식으로 되나요?,.,"교내장학 관련 답변
​안녕하세요. 전북대학교 장학팀입니다. 
문의주신 성적장학금은 국가장학금 신청여부와 관련이 없으며, 2학기부터는 폭력예방교육을 이수하여야 합니다.
또한 성적장학금은 학과에서 자체선발하므로 기타 자세한 성적장학금 선발 문의는 학과사무실로 문의하여주시기 바랍니다.
감사합니다.",
